open_rank,name,conemass_union,conemass_guaranteed,direct_dependents,transitive_dependents,chain_depth,title
195,PoincareFormalization.ExtinctionEndgame.simply_connected_factors_of_connected_sum,0.1879,0.1667,1,2,2,Simply connected connected sums have simply connected factors
196,Hirsch.common_face_diameter_of_dim_ge_five,0.1877,0.1877,1,8,8,Polynomial diameter of common faces of dimension at least five
197,SipserGacsLautemann.ternary_amplification_scheduler_reports_accepts_under_halt_bound,0.1867,0.0000,1,12,8,Amplification-depth ternary scheduler under a halt bound
198,WeakGoldbach.prime_in_window_4e18_add_two,0.1842,0.0000,1,4,4,"Prime ladder step: a prime in $[n-4\cdot 10^{18}-2,\, n-4]$ for each odd $n \le 8.875\times 10^{30}$"
199,RybinAI2026.P16.six_hadamards_five_by_five_constraints,0.1838,0.1250,1,2,2,Six Hadamard matrices with five-by-five modulus constraints
200,EulerMascheroni.Arithmetic.factorial_division_denominators_conjecture,0.1820,0.2242,1,5,5,Conjectural arithmetic division bounds for the Gompertz factorial quotient
201,TaoFivePrimes.strongly_major_arc,0.1802,0.2020,2,3,2,Proposition 8.3 — strongly major arc estimate
202,SymplecticFreeModules.canonicalSimpleShenLarssonExists,0.1786,0.1786,1,2,2,Existence and simplicity of the canonical Shen--Larsson action
203,zeta_ne_zero_of_strip_of_two_lt_abs_im,0.1769,0.1769,1,2,2,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ above height $2$
204,collatz_descent,0.1697,0.0715,3,6,3,Collatz descent principle: every $n > 1$ eventually drops below $n$
205,ErdosStraus242.hard_core_840_after_mod11,0.1667,0.1667,1,2,2,Remaining modulo-840 prime cases after the three-class modulo-11 sieve
206,BanditAlgorithm.chernoff_stopping_time_le_integrable_plus_linear,0.1667,0.1667,1,1,1,Track-and-Stop stops after an integrable time plus (1+ε)c*(ν)log(1/δ)
207,EulerMascheroni.P2.f_saddle_limit,0.1667,0.1667,1,1,1,Complex-saddle asymptotic for the explicit Euler remainder
208,EulerMascheroni.P2.phase_compatible_primitive_saving,0.1667,0.1667,1,1,1,Candidate P2 arithmetic obligation: phase-compatible primitive saving
209,LeanEval.NumberTheory.lagarias_robin_oscillation,0.1667,0.1667,1,1,1,Robin oscillation under failure of RH (Lagarias Proposition 3.2)
210,LeanEval.NumberTheory.lagarias_robin_upper_bound,0.1667,0.1667,1,1,1,Robin conditional upper bound (Lagarias Proposition 3.1)
211,RybinAI2026.P01.crossIntegral_add_double_pair_coefficients,0.1667,0.0000,1,1,1,Doubled-denominator coefficient budget for two numerators
212,RybinAI2026.P01.crossIntegral_add_l2_coefficients,0.1667,0.0000,1,1,1,Square-summable coefficients for adding one quadratic denominator
213,OddPerfectNumber.no_euler_ge_nine_eq_nine,0.1656,0.1656,1,3,3,Euler equation with special exponent k = 9 has no solution
214,OddPerfectNumber.no_euler_ge_nine_ge_thirteen,0.1656,0.1656,1,3,3,Euler equation with special exponent k ge 13 has no solution
215,Hirsch.common_face_diameter_of_dim_ge_four,0.1591,0.1591,1,7,7,Polynomial diameter of common faces of dimension at least four
216,mme_CW_coupled_raw_cyclic_value_of_ratio,0.1591,0.1250,1,6,6,Raw cyclic value from the coupled CW pruning condition
217,OddPerfectNumber.no_odd_perfect_k_one_odd_m,0.1573,0.1573,1,2,2,Special-exponent case k = 1 with m odd is impossible
218,PoincareFormalization.measured_surgery_data_of_not_homeomorph_sphere,0.1539,0.1539,1,3,3,Construct measured surgery data from a hypothetical counterexample
219,WeakGoldbach.three_odd_primes_ge_10pow27,0.1527,0.0000,2,4,3,Ternary Goldbach with odd primes for $n \ge 10^{27}$
220,WeakGoldbach.verified_three_odd_primes_to_8875e30,0.1527,0.0000,2,4,3,"Verified all-odd ternary Goldbach range $[9,\, 8.875\times 10^{30}]$"
221,mme_CW_square_laser_2376_profile_pruning,0.1526,0.1526,1,2,2,Finite CW square laser extraction at the exact 2.376 profile
222,mme_CW_square_laser_frequent_witness_of_coupled,0.1452,0.1111,1,6,6,Finite CW tensor-square laser witnesses from the coupled constituent
223,HorizontalPadicL.disjointRamification_seededFrobeniusClass_exists_v2,0.1441,0.1451,1,5,5,Simultaneous Frobenius class from the actual Galois characters
224,HorizontalPadicL.newEigenform_residualRepresentation_exists,0.1441,0.1451,1,5,5,Residual Galois representation attached to a new eigenform
225,HorizontalPadicL.positiveDensityOrderlySet_to_primeSystem,0.1441,0.1451,1,5,5,Enumerating a positive-density orderly-prime set
226,HorizontalPadicL.seedCyclotomicGaloisCharacters_exist_v2,0.1441,0.1451,1,5,5,Finite Galois realization of the cyclotomic and seed characters
227,HorizontalPadicL.seededEigenform_padicPlace_exists,0.1441,0.1451,1,5,5,A p-adic place for eigenform coefficients and a seed character
228,HorizontalPadicL.seededFrobeniusClass_positiveDensity,0.1441,0.1451,1,5,5,Positive density of the seeded Frobenius class
229,mme_more_asymmetry_cofinal_hash_extraction_certificate,0.1437,0.1087,1,6,5,"More Asymmetry: joint cofinal hash, source and rate certificate"
230,CannonFloydParry.exists_conj_supp_subset_Icc,0.1429,0.1429,1,1,1,"$[F,F]$ conjugates each of its elements into a prescribed dyadic interval"
231,CannonFloydParry.exists_dyadic_interval_image_disjoint,0.1429,0.1429,1,1,1,A nontrivial element of $F$ pushes a dyadic interval off itself
232,CannonFloydParry.mem_closure_commutator_supp_Icc,0.1429,0.1429,1,1,1,Maps supported strictly inside a dyadic interval are products of commutators supported in it
233,CollapsibleCubics.cubic_collapsible_of_not_normForm_repr,0.1429,0.1429,1,1,1,Cubic collapsibility when every collapsing polynomial has degree $\ge 4$
234,Rudin.ch10_stokes_surface,0.1429,0.0000,1,1,1,Stokes' theorem for a single $(m+1)$-surface
235,TarchaBraids.thm_3_11_half_twists_generate,0.1429,0.1429,1,1,1,"Teorema 3.11: the half-twists generate $\pi_1(B_{0,n}E^2)$"
236,TarchaBraids.thm_3_15_half_twist_hom_injective,0.1429,0.1429,1,1,1,"Teorema 3.15, step 3 — the half-twist homomorphism $B_n \to \pi_1(B_{0,n}E^2)$ is injective"
237,TarchaBraids.thm_3_15_half_twists_satisfy_relations,0.1429,0.1429,1,1,1,Teorema 3.15 (homomorphism step): the half-twists satisfy Artin's relations
238,WeightedRootIntegralIdentity.weighted_geometric_mean_integral_identity,0.1429,0.1429,1,1,1,Weighted geometric-mean integral identity
239,DiazModulus.diaz_of_exp_not_real_irrational_angle,0.1419,0.2534,1,3,3,Off both axes with irrational angle: the genuine residual
240,HorizontalPadicL.ellipticCurve_attachedForm_isNormalizedEigenform,0.1389,0.1391,1,2,2,The modular form attached to an elliptic curve is a normalized eigenform
241,TaoFivePrimes.rosser_schoenfeld_psi_bound,0.1383,0.1250,1,2,2,"Rosser–Schoenfeld: $\psi(x) \lt 1.03883\,x$"
242,RybinAI2026.P01.matrix_integral_inequality_integer_gram_small_regularizer,0.1339,0.1339,1,2,2,Integer Gram inequality below the proved regularization threshold
243,Hirsch.polynomial_edge_refinement_of_circuit_walks_of_high_carrier,0.1335,0.1335,1,6,6,Polynomial edge refinement of circuit walks with a high-dimensional common face
244,Leopoldt.defect_pos_of_defect_pos,0.1303,0.1394,1,2,2,A positive Leopoldt defect is inherited by finite extensions
245,Leopoldt.leopoldt_totallyReal_galois,0.1303,0.1394,1,2,2,Leopoldt's conjecture for totally real Galois fields
246,momentAngle_fourSphere_uniformTorsionBlocks,0.1292,0.1292,1,2,2,"Arbitrary torsion in a moment-angle manifold over a simplicial $4$-sphere, for the uniform block group $\mathbb{Z}^k \oplus (\mathbb{Z}/n)^k$"
247,ArithmeticE.beukers_rational_system_lifting,0.1279,0.0000,1,5,5,Classical Beukers linear lifting for rational-coefficient E-systems
248,Chou.fg_of_isFinitelyPresented_quotient_of_not_hasFreeSubsemigroupOfRankTwo,0.1250,0.1250,1,1,1,Rosenblatt's Lemmas 4.8 and 4.9 with $A$ not necessarily abelian: a normal subgroup with finitely presented quotient is finitely generated when $B$ has no free subsemigroup
249,Chou.isVirtuallyNilpotent_of_extension_of_not_hasFreeSubsemigroupOfRankTwo,0.1250,0.1250,1,1,1,Rosenblatt's form of Lemma 3.1 (external)
250,Hairer.reconstruction_operator,0.1250,0.1250,1,1,1,Existence of a linear reconstruction operator for arbitrary $\gamma$
251,ReservoirSAS.polynomial_sas_realization,0.1250,0.1250,1,1,1,Exact realization of finite-history polynomials by bounded contracting SAS
252,syracuse_minimal_period_ge_eight_eq_one,0.1250,0.0625,1,4,4,Exclude nontrivial Syracuse cycles of least period at least eight
253,TaoFivePrimes.minor_arc_L2_corrected,0.1167,0.0588,2,3,3,Proposition 8.4 with corrected constant: $L^2$ estimate off the strongly major arc ($7.4$)
254,DiazModulus.diaz_of_exp_ne_one,0.1135,0.3304,1,3,3,"Real exponential other than 1, non-real argument"
255,diophantine_degree_ge_two_case_five_quintuple,0.1121,0.1121,1,2,2,"Exclusion of degree at least two — Theorem 9, case V"
256,diophantine_degree_ge_two_case_four_quintuple,0.1121,0.1121,1,2,2,"Exclusion of degree at least two — Theorem 9, case IV"
257,diophantine_degree_ge_two_case_one_quintuple,0.1121,0.1121,1,2,2,"Exclusion of degree at least two — Theorem 9, case I"
258,diophantine_degree_ge_two_case_three_quintuple,0.1121,0.1121,1,2,2,"Exclusion of degree at least two — Theorem 9, case III"
259,diophantine_degree_ge_two_case_two_quintuple,0.1121,0.1121,1,2,2,"Exclusion of degree at least two — Theorem 9, case II"
260,diophantine_quintuple_acb_upper_bound,0.1121,0.1121,1,2,2,Quintuple range upper bound (ac < 180.45 b^3)
261,diophantine_quintuple_global_bound,0.1121,0.1121,1,2,2,Global bounds for a quintuple (Proposition 5)
262,Freiman.lower_one_step,0.1111,0.1111,1,4,4,Freiman lower construction: one step
263,Gilbreath.good_blocks,0.1111,0.1111,1,1,1,Existence of blocks of $0$s and $2$s in the Gilbreath triangle
264,Hirsch.polynomial_edge_refinement_of_circuit_walks_dim_ge_four,0.1091,0.1091,1,5,5,Polynomial edge refinement of circuit walks in dimension at least four
265,HarmonicBuilding.frequencyLimitExistsAndAtLeastOne,0.1083,0.1271,1,3,3,The frequency converges and its limit is at least one
266,HarmonicBuilding.nonconstantOnSmallCircles,0.1083,0.1271,1,3,3,A nonconstant harmonic map is nonconstant on every small circle
267,WeakGoldbach.verified_three_primes_to_8875e30,0.1072,0.0000,1,3,3,Verified ternary Goldbach range through $8.875\times10^{30}$
268,strong_goldbach_conjecture,0.1072,0.0000,2,3,3,
269,KServer.workFnU_sharp_potential,0.1061,0.1061,1,3,3,Sharp work-function potential: an open sufficient condition
270,mme_more_asymmetry_six_symmetric_tau_value_surplus,0.1053,0.0702,1,5,4,More Asymmetry: six-symmetric tau-value surplus
271,PoincareFormalization.ExtinctionEndgame.exists_area_evolution_surgery_topology,0.1046,0.0833,1,3,3,Construct surgery topology with uniform area evolution
272,FiniteMagmaE677.fixer_exists,0.1000,0.1000,1,1,1,Fixer existence: an equivalent form of the main target
273,RybinAI2026.P01.matrix_integral_inequality_integer_gram_ratio_residual,0.1000,0.1000,1,1,1,Remaining integer-Gram matrix inequality beyond uniform-ratio certificates
274,mme_CW_q6_coupled_hash_survivors_below_raw,0.0913,0.0000,1,8,8,Salem--Spencer hashing produces enough mode-disjoint coupled survivors
275,EulerMascheroni.Arithmetic.factorial_division_decay_conjecture,0.0911,0.1333,1,4,4,Conjectural denominator decay sufficient for Gompertz transcendence
276,Chou.isVirtuallyNilpotent_or_hasExponentialGrowth_of_extension,0.0909,0.0909,1,1,1,Lemma 3.1: extensions of almost nilpotent by almost nilpotent groups
277,EulerMascheroni.Mixed.beukers_e_value_linear_lifting,0.0879,0.0000,1,4,4,Classical Beukers lifting specialized to the Euler E-function system
278,bp_flt_for_p_ge_5,0.0874,0.0000,1,11,7,
279,flt_odd_prime_gt_5,0.0874,0.0000,1,11,9,
280,Hirsch.polynomial_edge_refinement_of_circuit_walks,0.0853,0.0853,1,4,4,Polynomial edge refinement of irredundant circuit walks — open research
281,Weil.perron_contour_shift,0.0848,0.0000,1,4,4,Shifting the Perron contour into the zero-free region
282,Weil.perron_truncation,0.0848,0.0000,1,4,4,Truncated Perron formula for coefficients of von Mangoldt size
283,BSD.analytic_continuation,0.0833,0.0000,1,1,1,Analytic continuation of the elliptic-curve L-function
284,BSD.exists_isLFunction,0.0833,0.0000,1,1,1,"Analytic continuation of the Hasse–Weil L-series to an entire function (Wiles, Taylor–Wiles, Breuil–Conrad–Diamond–Taylor)"
285,BSD.rank_order_equality,0.0833,0.0000,1,1,1,Rank equals the analytic order of vanishing
286,PoincareFormalization.surgery_comparison_process_of_not_homeomorph_sphere,0.0825,0.0825,1,2,2,Volume-controlled width profiles from a hypothetical Poincare counterexample
287,OddPerfectNumber.no_euler_equation_special_exponent_five,0.0823,0.0823,1,2,2,Euler equation for an odd perfect number with special exponent $k = 5$ has no solution
288,OddPerfectNumber.no_euler_equation_special_exponent_ge_nine,0.0823,0.0823,1,2,2,Euler equation for an odd perfect number with special exponent $k \\ge 9$ has no solution
289,mme_more_asymmetry_entropy_regional_surplus_certificate,0.0775,0.0651,1,4,4,Construct a successful finite regional entropy recipe for omega < 2.37134
290,CirclePackingConstants.c_n_eight,0.0769,0.0769,1,1,1,Exact packing constant for n = 8
291,CirclePackingConstants.c_n_seven,0.0769,0.0769,1,1,1,Exact packing constant for n = 7
292,CirclePackingConstants.c_n_six,0.0769,0.0769,1,1,1,Exact packing constant for n = 6
293,CirclePackingConstants.c_n_sixteen,0.0769,0.0769,1,1,1,Exact packing constant for n = 16
294,CirclePackingConstants.c_n_thirty_six,0.0769,0.0769,1,1,1,Exact packing constant for n = 36
295,CirclePackingConstants.c_n_twenty_five,0.0769,0.0769,1,1,1,Exact packing constant for n = 25
296,zeta_ne_zero_of_half_lt_re,0.0769,0.0769,1,1,1,$\zeta$ has no zeros in the half-plane $\operatorname{Re} s>1/2$
297,DiazModulus.diaz_of_exp_not_real_off_axes,0.0705,0.1534,1,2,2,"Non-real exponential, argument off both axes"
298,goldbach_odd_variant,0.0702,1.0000,1,2,2,
299,mme_more_asymmetry_fixed_tau_cofinal_six_extraction_real_tau,0.0695,0.0345,1,4,3,More Asymmetry: cofinal six-symmetric finite extraction at real tau
300,KServer.finite_game_uniform_value_bound,0.0690,0.0690,1,2,2,Open uniform bound for the competitive finite-game values
301,TaoFivePrimes.minor_arc_bound,0.0690,0.0000,1,2,2,Minor arc bound (8.17) for the five-primes circle method
302,ErdosStraus242.hard_core_840,0.0667,0.0667,1,1,1,The residual hard case at six squares mod 840 - genuinely open
303,WhitneyEmbedding.finite_immersion_and_proper_function_of_noncompact,0.0667,0.0909,1,1,1,Finite-dimensional immersion and smooth exhaustion data for a noncompact manifold
304,WhitneyEmbedding.strong_embedding_from_closed_weak_embedding,0.0667,0.0909,1,1,1,Strong Whitney step from a smooth closed embedding in dimension $2n+1$
305,flt_n_odd_prime,0.0652,0.0000,1,10,7,
306,flt_wiles_coprime_case,0.0652,0.0000,1,10,1,
307,modularity_semistable_elliptic,0.0652,0.0976,1,10,3,
308,ribet_level_lowering,0.0652,0.0476,1,10,2,
309,HarmonicBuilding.orderExistsAndAtLeastOne,0.0648,0.0745,1,2,2,The order of a nonconstant harmonic map into a Euclidean building is well defined and $\ge 1$
310,DiazModulus.diaz_of_exp_real_self_not_real,0.0635,0.1875,1,2,2,"Real exponential, non-real argument"
311,Hirsch.polynomial_access_to_given_supporting_face,0.0626,0.0626,1,3,3,Polynomial routing to a prescribed supporting face
312,MomentAngle_arbitraryTorsionNormalForm,0.0625,0.0625,1,1,1,"Arbitrary torsion in a moment-angle manifold over a simplicial $4$-sphere, for a group in normal form"
313,RybinAI2026.P01.matrix_integral_inequality_integer_gram,0.0625,0.0625,1,1,1,Matrix integral inequality for integer Gram matrices with positive integer regularization
314,syracuse_periodic_ge_seven_eq_one,0.0625,0.0000,1,3,3,No nontrivial Syracuse periodic point of iterate period at least seven
315,HorizontalPadicL.seededHorizontalPadicLFunction_exists_of_primeSystem,0.0608,0.0617,1,4,4,Seeded horizontal measure from modular symbols
316,HorizontalPadicL.seededPositiveDensityPrimeSystem_exists,0.0608,0.0617,1,4,4,Positive-density orderly primes for a seeded twist
317,Leopoldt.leopoldt_totallyReal,0.0588,0.0625,1,1,1,Leopoldt's conjecture for totally real fields
318,RybinAI2026.P16.projectiveToricMUBDesign36_exists,0.0588,0.0000,1,1,1,Existence of a 36-point projective toric MUB design in dimension six
319,RybinAI2026.P16.six_mutually_unbiased_hadamards,0.0588,0.0000,1,1,1,Six mutually unbiased complex Hadamard matrices of order six
320,catalan_ne_rat_mul_sqrt_three_LChiMinusThree,0.0588,0.0667,1,1,1,"$L(2,\chi_{-4})$ and $\sqrt{3}\,L(2,\chi_{-3})$ are not rationally related"
321,PoincareFormalization.ExtinctionEndgame.exists_measured_surgery_topology,0.0546,0.0333,1,2,2,Construct measured surgery topology for the extinction endgame
322,CollatzMission.syracuse_odd_conjecture,0.0542,0.0000,1,2,2,Accelerated Collatz conjecture on positive odd integers
323,CollatzMission.bounded_orbit_of_avoids_one,0.0530,0.0345,1,2,2,One-avoiding Collatz orbits are bounded
324,mme_CW_square_laser_2376_cofinal_extraction_of_coupled,0.0526,0.0526,1,1,1,Cofinal finite CW square extractions at the exact 2.376 profile
325,EulerMascheroni.Arithmetic.gompertz_transcendental,0.0494,0.0500,1,3,3,Transcendence of the Gompertz constant
326,EulerMascheroni.Mixed.e_values_linear_independent,0.0494,0.0500,2,3,3,"Classical algebraic linear independence of 1, e, and e Ein(1)"
327,EulerMascheroni.Mixed.local_intersection_algebraicity_conjecture,0.0494,0.0500,2,3,3,Conjectural E/Y intersection algebraicity for the Gompertz value
328,diophantine_quintuple_degree_ge_two,0.0455,0.0455,1,1,1,Theorem 9 — exclusion of degree at least two
329,diophantine_quintuple_degree_one,0.0455,0.0455,1,1,1,Theorem 8 — exclusion of degree one
330,diophantine_quintuple_degree_zero,0.0455,0.0455,1,1,1,Theorem 7 — exclusion of the Euler case
331,HorizontalPadicL.eigenform_seededHorizontalPadicLConstruction_v2,0.0447,0.0453,1,3,3,Construction of seeded horizontal p-adic L-functions
332,HorizontalPadicL.seededHorizontalPadicLConstruction_implies_corollary_5_17_v2,0.0447,0.0453,1,3,3,Seeded horizontal measures imply Corollary 5.17
333,mme_more_asymmetry_integer_regional_surplus_certificate,0.0417,0.0294,1,3,3,An efficient finite integer recipe for the More Asymmetry bound
334,Hirsch.polynomial_target_face_access,0.0408,0.0408,1,2,2,Polynomial access to a supporting face of the target vertex (conjectural)
335,CollatzMission.periodic_point_reaches_one,0.0403,0.5000,1,2,2,Every positive periodic Collatz orbit visits 1
336,Chou.residuallyFinite_freeGroup,0.0370,0.0625,1,1,1,Free groups are residually finite (external)
337,PoincareFormalization.persistent_comparison_data_of_not_homeomorph_sphere,0.0370,0.0370,1,1,1,Comparison data from a hypothetical Poincare counterexample
338,SymplecticFreeModules.canonicalHamiltonianApplication,0.0357,0.0357,1,1,1,Simple modules over the canonical Hamiltonian Lie algebra of Witt type
339,SymplecticFreeModules.exceptionalFiniteLength,0.0357,0.0357,1,1,1,"At exceptional $c$, $\tau(c,\varphi)$ has finite length and Jordan--H\ddot{o}lder uniqueness"
340,SymplecticFreeModules.simplicityCriterion,0.0357,0.0357,1,1,1,"$\tau(c,\varphi)$ is simple iff $c$ is not exceptional"
341,mme_more_asymmetry_fourth_fixed_tau_value_surplus,0.0351,0.0000,2,3,2,More Asymmetry: strict fourth-power value surplus at tau = 3952233/5000000
342,WeakGoldbach.three_primes,0.0345,0.0000,1,1,1,Every Odd Number Greater Than 1 is the Sum of at Most 3 Primes
343,Freiman.lower_refinement_alternative,0.0342,0.0342,1,3,3,Freiman lower construction: refinement alternative
344,mme_CW_coupled_piece_value,0.0341,0.0000,1,5,5,Value lower bound for the coupled CW constituent
345,mme_CW_square_laser_value_of_coupled,0.0341,0.0000,1,5,5,CW tensor-square laser value from the coupled constituent
346,KServer.finite_horizon_uniform_bound,0.0333,0.0333,1,1,1,"The k-server conjecture on finite request sets and horizons, with a uniform additive constant"
347,TaoFivePrimes.representationCount_pos,0.0333,0.0909,1,1,1,Positivity of Tao’s weighted representation count (K = 1000)
348,OddPerfectNumber.no_odd_perfect_special_exponent_ge_five,0.0323,0.0323,1,1,1,"Odd perfect number conjecture, special-exponent case $k \ge 5$"
349,OddPerfectNumber.no_odd_perfect_special_exponent_one,0.0323,0.0323,1,1,1,"Odd perfect number conjecture, special-exponent case $k = 1$"
350,BookSixth.crossing_lemma,0.0313,0.0313,1,1,1,"Chapter 45, Theorem 4: crossing lemma (drawing form)"
351,BookSixth.high_girth_chromatic,0.0313,0.0313,1,1,1,"Chapter 45, Theorem 3: high girth and chromatic number"
352,BookSixth.latin_asymptotic,0.0313,0.0313,1,1,1,"Chapter 37, Corollary: Latin square asymptotic"
353,BookSixth.round_circle_unlink,0.0313,0.0313,1,1,1,"Chapter 15, Theorem 1: pairwise unlinked round circles"
354,EulerMascheroni.Mixed.value_relation_lifting_conjecture,0.0309,0.0000,1,2,2,Conjectural arithmetic lifting for the explicit Euler–Gompertz mixed system
355,Erdos9796Mission.minimal_counterexample_removable,0.0304,0.0304,1,3,3,Descent: a minimal counterexample with more than nine vertices has a removable vertex
356,HarmonicBuildingKL.orderDenominatorDividesWeylWD,0.0303,0.0345,1,1,1,The order of a harmonic map into a building has denominator dividing the Weyl group
357,HarmonicBuildingKL.orderExistsAndAtLeastOneWD,0.0303,0.0345,1,1,1,The order of a nonconstant harmonic map into a building exists and is at least one
358,HorizontalPadicL.friedberg_hoffstein_quadratic_twist_nonzero,0.0290,0.0295,1,2,2,Friedberg–Hoffstein nonvanishing quadratic twist
359,HorizontalPadicL.quadratic_seed_implies_corollary_5_17,0.0290,0.0295,1,2,2,Prime-by-prime horizontal propagation from a quadratic seed
360,mme_dwz_fourth_value_surplus_witness,0.0286,0.0000,1,2,2,DWZ fourth-power surplus certificate witness
361,DiazModulus.diaz_of_exp_not_real,0.0250,0.0625,1,1,1,Diaz's conjecture when the exponential is not real
362,DiazModulus.diaz_of_exp_real,0.0250,0.0625,1,1,1,Diaz's conjecture when the exponential is real
363,PoincareFormalization.ExtinctionEndgame.exists_width_controlled_surgery_topology,0.0213,0.0000,1,1,1,Construct uniform width-controlled surgery topology
364,PoincareFormalization.ExtinctionEndgame.nonempty_homeomorph_sphere_of_standard_decomposition,0.0213,0.0000,1,1,1,The simply connected endgame for a standard connected-sum decomposition
365,PoincareFormalization.exists_smooth_structure_three,0.0213,0.0000,1,1,1,Moise's theorem: every topological $3$-manifold admits a smooth structure
366,PoincareFormalization.nonempty_sdiffeomorph_sphere_three,0.0213,0.0000,1,1,1,Three-dimensional smooth Poincaré conjecture — Mathlib statement
367,Hirsch.balanced_polynomial_bound,0.0200,0.0200,1,1,1,Polynomial Hirsch bound for balanced H-polytopes
368,CollatzMission.no_divergent_counterexamples,0.0185,0.0000,1,1,1,No one-avoiding non-cyclic orbits
369,CollatzMission.no_eventual_cycle_counterexamples,0.0185,0.0000,1,1,1,No one-avoiding eventual cycles
370,CollatzMission.odd_inputs_conjecture,0.0185,0.0000,1,1,1,Collatz conjecture for positive odd inputs
371,HorizontalPadicL.corollary_5_17,0.0139,0.0141,1,1,1,Corollary 5.17 for new eigenforms
372,HorizontalPadicL.ellipticCurve_eigenform_specialization,0.0139,0.0141,1,1,1,Specialization from a modular elliptic curve to a new eigenform
373,EulerMascheroni.Sondow.fractional_lower_bound_conjecture,0.0133,0.0000,1,1,1,Open Sondow fractional-part condition for Euler irrationality
374,EulerMascheroni.Sondow.scaled_integral_bounds,0.0133,0.0000,1,1,1,Sondow scaled positive remainder bound
375,EulerMascheroni.gamma_transcendental,0.0133,0.0000,1,1,1,Euler's constant is transcendental
376,Freiman.lower_models,0.0129,0.0129,1,2,2,Freiman lower construction: models
377,mme_more_asymmetry_finite_regional_surplus_certificate,0.0123,0.0000,1,2,2,Construct a finite regional CW certificate with strict More Asymmetry surplus
378,mme_CW_subrank_capacity_poly_lower,0.0110,0.0000,1,2,2,
379,mme_dwz_fourth_fixed_tau_value_surplus,0.0059,0.0000,1,1,1,DWZ fourth-power strict value surplus above 2401
380,mme_omega_lt_237134,0.0059,0.0000,1,1,1,More Asymmetry bound: omega < 2.37134
381,Freiman.lower_interval,0.0050,0.0050,1,1,1,The lower interval in the Lagrange spectrum
382,AaronsonAmbainis.aaronson_ambainis_conjecture,0.0000,0.0000,0,0,0,Aaronson--Ambainis conjecture: bounded low-degree polynomials have an influential variable
383,AlmostComplexToComplex.every_closed_almost_complex_manifold_admits_complex_structure,0.0000,0.0000,0,0,0,Almost-complex-to-complex conjecture for closed manifolds
384,BSD.birch_swinnerton_dyer,0.0000,0.0000,0,0,0,"Birch and Swinnerton-Dyer conjecture: $\operatorname{ord}_{s=1} L(E,s) = \operatorname{rank} E(\mathbb{Q})$ for every elliptic curve $E/\mathbb{Q}$ (Clay Millennium Prize Problem)"
385,BanditAlgorithm.chernoff_stopping_time_sample_complexity,0.0000,0.0000,0,0,0,$\\limsup_{\\delta\\to0}\\mathbb{E}[\\tau_\\delta]/\\log(1/\\delta)\\le c^*(\\nu)$ under optimal tracking
386,BanditAlgorithm.gaussian_ts_pull_count_rhs_bound,0.0000,0.0000,0,0,0,Gaussian tail sums in the Thompson-sampling pull-count decomposition
387,BanditAlgorithm.linear_bandit_unit_ball_coordinate_flip_stopped_loss_lower_bound,0.0000,0.0000,0,0,0,Coordinate-flip stopped-loss lower bound for unit-ball linear bandits
388,Beal_Conjecture,0.0000,0.0000,0,0,0,
389,BirkhoffGlobalSection.birkhoff_retrograde_global_section,0.0000,0.0000,0,0,0,Birkhoff's retrograde rational global-section conjecture
390,BookSixth.sixthEditionExtension,0.0000,0.0000,0,0,0,Sixth-edition extension: 21 precise formalization targets
391,BoydChua.solution,0.0000,0.0000,0,0,0,Theorem 1: approximation by a bank of linear filters and a polynomial readout
392,BraidsLinksMCG.thm_1_8_artin_presentation,0.0000,0.0000,0,0,0,"Theorem 1.8 (Artin, 1925): $B_n \cong \pi_1 B_{0,n}E^2$"
393,BurauFaithful.burau_faithful_four,0.0000,0.0000,0,0,0,The Burau representation $\rho_4$ of $B_4$ is faithful
394,Chens_Theorem,0.0000,0.0000,0,0,0,
395,Chou.hasPackingProperty_freeGroup,0.0000,0.0000,0,0,0,Free groups have property (P)
396,Chou.isVirtuallyNilpotent_or_hasExponentialGrowth_of_elementaryAmenable,0.0000,0.0000,0,0,0,Theorem 3.2: finitely generated elementary amenable groups are almost nilpotent or of exponential growth
397,Chou.isVirtuallyNilpotent_or_hasFreeSubsemigroupOfRankTwo_of_elementaryAmenable,0.0000,0.0000,0,0,0,Theorem 3.2′: finitely generated elementary amenable groups are almost nilpotent or contain a free subsemigroup on two generators
398,CirclePackingConstants.c_all,0.0000,0.0000,0,0,0,All currently formalized exact circle-packing constants
399,CollapsibleCubics.cubic_collapsible,0.0000,0.0000,0,0,0,Every cubic algebraic number is collapsible
400,CollatzMission.collatz_conjecture,0.0000,0.0000,0,0,0,Collatz conjecture
401,Congruent_Number_Tunnell_Even_Converse,0.0000,0.0000,0,0,0,
402,Congruent_Number_Tunnell_Odd_Converse,0.0000,0.0000,0,0,0,
403,Conway99.conway_99,0.0000,0.0000,0,0,0,"Conway's 99-graph problem: a strongly regular graph with parameters $(99,14,1,2)$"
404,CubicP3Partition.root_problem,0.0000,0.0000,0,0,0,OPG-46613: $P_3$-partitions of cubic 3-connected graphs
405,DeBruijnNewman.debruijn_newman_constant_nonneg,0.0000,0.0000,0,0,0,Theorem 1 - the de Bruijn-Newman constant satisfies $\Lambda \ge 0$
406,DiazModulus.diaz_modulus_conjecture,0.0000,0.0000,0,0,0,Diaz's modulus conjecture
