unlock_rank,name,unlock_open_union,unlock_open_guaranteed,published_open_rank,published_conemass_union,title
193,LeanEval.NumberTheory.lagarias_robin_oscillation,0.5000,0.5000,209,0.1667,Robin oscillation under failure of RH (Lagarias Proposition 3.2)
194,LeanEval.NumberTheory.lagarias_robin_upper_bound,0.5000,0.5000,210,0.1667,Robin conditional upper bound (Lagarias Proposition 3.1)
195,ReservoirSAS.polynomial_sas_realization,0.5000,0.5000,251,0.1250,Exact realization of finite-history polynomials by bounded contracting SAS
196,RybinAI2026.P01.crossIntegral_add_double_pair_coefficients,0.5000,0.0000,211,0.1667,Doubled-denominator coefficient budget for two numerators
197,RybinAI2026.P01.crossIntegral_add_l2_coefficients,0.5000,0.0000,212,0.1667,Square-summable coefficients for adding one quadratic denominator
198,WeightedRootIntegralIdentity.weighted_geometric_mean_integral_identity,0.5000,0.5000,238,0.1429,Weighted geometric-mean integral identity
199,bp_no_frey_package,0.5000,0.5000,167,0.2303,
200,mme_CW_square_laser_2376_cofinal_extraction_of_coupled,0.5000,0.5000,324,0.0526,Cofinal finite CW square extractions at the exact 2.376 profile
201,polignac_conjecture,0.5000,0.5000,66,0.5000,
202,ribet_level_lowering,0.5000,0.5000,308,0.0652,
203,RybinAI2026.P16.six_unbiased_partial_hadamards,0.4917,0.3667,111,0.3505,Six mutually unbiased partial Hadamard matrices with five columns
204,OddPerfectNumber.no_dris_special_exponent_five_s_ge_two,0.4831,0.4831,168,0.2251,No Dris-index solution for the Euler equation with special exponent $k = 5$ and $s \ge 2$
205,TaoFivePrimes.strongly_major_arc,0.4625,0.5833,201,0.1802,Proposition 8.3 — strongly major arc estimate
206,WhitneyEmbedding.exists_proper_self_transverse_immersion,0.4583,0.0000,143,0.2667,General position: a proper self-transverse immersion in $\mathbb{R}^{2n}$
207,WhitneyEmbedding.finite_injective_immersion,0.4583,0.5333,164,0.2333,Finite-dimensional injective immersion for a noncompact manifold
208,WhitneyEmbedding.injective_immersion_of_self_transverse_immersion,0.4583,0.0000,144,0.2667,"Whitney trick: removing the double points of a self-transverse immersion, $n \ge 3$"
209,WhitneyEmbedding.strong_embedding_low_dimensions,0.4583,0.0000,145,0.2667,Strong Whitney embedding in dimensions $n \le 2$
210,ErdosStraus242.hard_core_840_after_mod11,0.4500,0.4500,205,0.1667,Remaining modulo-840 prime cases after the three-class modulo-11 sieve
211,Freiman.lower_models,0.4500,0.4500,376,0.0129,Freiman lower construction: models
212,KServer.finite_game_uniform_value_bound,0.4500,0.4500,300,0.0690,Open uniform bound for the competitive finite-game values
213,zeta_ne_zero_of_strip_of_two_lt_abs_im,0.4500,0.4500,203,0.1769,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ above height $2$
214,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_aligned,0.4492,0.6012,154,0.2530,"Irrational angle, period-aligned: a rational multiple of u has a two-point algebraic fibre"
215,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_free,0.4492,0.6012,155,0.2530,"Irrational angle, period-free: every exponential fibre meets the locus once"
216,collatz_descent,0.4457,0.1742,204,0.1697,Collatz descent principle: every $n > 1$ eventually drops below $n$
217,PoincareFormalization.ExtinctionEndgame.nonempty_homeomorph_sphere_of_connected_sum_spheres,0.4444,0.3333,193,0.1879,A connected sum of three-spheres is a three-sphere
218,PoincareFormalization.ExtinctionEndgame.not_simply_connected_sphere_handle,0.4444,0.3333,194,0.1879,The sphere handle is not simply connected
219,PoincareFormalization.ExtinctionEndgame.simply_connected_factors_of_connected_sum,0.4444,0.3333,195,0.1879,Simply connected connected sums have simply connected factors
220,goldbach_large,0.4354,0.2576,97,0.3725,Goldbach's Conjecture for $n \ge 30$
221,BSD.exists_cuspForm_qCoeff_eq_lFunction,0.4333,0.3333,139,0.2833,"Modularity theorem, coefficient form: $a_n(f) = a_n(E)$ for a weight-two normalized eigenform $f$"
222,BSD.lSeriesSummable,0.4333,0.3333,140,0.2833,Convergence of the Hasse–Weil L-series of an elliptic curve over $\mathbb{Q}$ for $\operatorname{Re} s > 3/2$ (Hasse)
223,CuspForm.exists_differentiable_eq_lSeries_qCoeff,0.4333,0.3333,141,0.2833,Hecke: the L-series of a weight-two cusp form on $\Gamma_0(N)$ extends to an entire function
224,SymplecticFreeModules.canonicalSimpleShenLarssonExists,0.4333,0.4333,202,0.1786,Existence and simplicity of the canonical Shen--Larsson action
225,TaoFivePrimes.S1_major_arc_L2_mass_626,0.4201,0.4444,160,0.2417,Correctly normalized eta₁ mass on the strongly major arc
226,TaoFivePrimes.minor_arc_L2_full_circle_8001,0.4201,0.4444,161,0.2417,Full-circle mesoscopic L² bound for eta₁
227,TaoFivePrimes.minor_arc_Linfty_corrected,0.4201,0.3111,192,0.1881,Estimate (8.18) with sharpened constant: $L^\infty$ bound off the strongly major arc ($0.05$)
228,TaoFivePrimes.rosser_schoenfeld_psi_bound,0.3922,0.3333,241,0.1383,"Rosser–Schoenfeld: $\psi(x) \lt 1.03883\,x$"
229,mme_more_asymmetry_fourth_fixed_tau_value_surplus,0.3826,0.0000,341,0.0351,More Asymmetry: strict fourth-power value surplus at tau = 3952233/5000000
230,Hirsch.polynomial_access_to_given_supporting_face,0.3790,0.3790,311,0.0626,Polynomial routing to a prescribed supporting face
231,HorizontalPadicL.seededHorizontalPadicLFunction_exists_of_primeSystem,0.3708,0.3708,315,0.0608,Seeded horizontal measure from modular symbols
232,HorizontalPadicL.seededPositiveDensityPrimeSystem_exists,0.3708,0.3708,316,0.0608,Positive-density orderly primes for a seeded twist
233,Chou.fg_of_isFinitelyPresented_quotient,0.3667,0.3667,179,0.2020,"Milnor's lemma, Chou's form: finitely presented quotients of exponentially bounded groups have finitely generated kernels (external)"
234,Chou.hall_finite_subgroups_of_index,0.3667,0.3667,180,0.2020,M. Hall: a finitely generated group has finitely many subgroups of each index (external)
235,Chou.milnor_wolf,0.3667,0.3667,181,0.2020,Milnor–Wolf: exponentially bounded solvable groups are almost nilpotent (external)
236,FiniteMagmaE677.two_left_orbit_complement_elements_escape_gives_fixer,0.3667,0.3667,176,0.2111,Right-translation escape with two elements outside the left orbit gives a fixer
237,FiniteMagmaE677.unique_left_orbit_complement_escape_gives_fixer,0.3667,0.3667,177,0.2111,Right-translation escape with one element outside the left orbit gives a fixer
238,goldbach,0.3444,0.1667,136,0.2955,
239,momentAngle_exists_full_neighborly_twoComplex_blocks,0.3361,0.3361,183,0.2006,Uniform torsion blocks in a full neighbourly two-complex inside a simplicial $4$-sphere
240,momentAngle_fullNeighborlyTwoComplex_h1_loopHomology,0.3361,0.3361,184,0.2006,First homology of a full neighbourly two-complex embeds in loop homology
241,momentAngle_fullSubcomplex_h1_homology,0.3361,0.3361,185,0.2006,First homology of a full subcomplex embeds in moment-angle homology
242,CollapsibleCubics.cubic_collapsible_of_not_normForm_repr,0.3333,0.3333,233,0.1429,Cubic collapsibility when every collapsing polynomial has degree $\ge 4$
243,Gilbreath.good_blocks,0.3333,0.3333,263,0.1111,Existence of blocks of $0$s and $2$s in the Gilbreath triangle
244,Hairer.reconstruction_operator,0.3333,0.3333,250,0.1250,Existence of a linear reconstruction operator for arbitrary $\gamma$
245,PoincareFormalization.persistent_comparison_data_of_not_homeomorph_sphere,0.3333,0.3333,337,0.0370,Comparison data from a hypothetical Poincare counterexample
246,TarchaBraids.thm_3_11_half_twists_generate,0.3333,0.3333,235,0.1429,"Teorema 3.11: the half-twists generate $\pi_1(B_{0,n}E^2)$"
247,TarchaBraids.thm_3_15_half_twist_hom_injective,0.3333,0.3333,236,0.1429,"Teorema 3.15, step 3 — the half-twist homomorphism $B_n \to \pi_1(B_{0,n}E^2)$ is injective"
248,TarchaBraids.thm_3_15_half_twists_satisfy_relations,0.3333,0.3333,237,0.1429,Teorema 3.15 (homomorphism step): the half-twists satisfy Artin's relations
249,DiazModulus.diaz_of_exp_real_self_not_real,0.3214,0.3333,310,0.0635,"Real exponential, non-real argument"
250,OddPerfectNumber.no_euler_ge_nine_eq_nine,0.3164,0.3164,213,0.1656,Euler equation with special exponent k = 9 has no solution
251,OddPerfectNumber.no_euler_ge_nine_ge_thirteen,0.3164,0.3164,214,0.1656,Euler equation with special exponent k ge 13 has no solution
252,RybinAI2026.P01.matrix_integral_inequality_integer_gram_small_regularizer,0.3095,0.3095,242,0.1339,Integer Gram inequality below the proved regularization threshold
253,OddPerfectNumber.no_odd_perfect_k_one_odd_m,0.3088,0.3088,217,0.1573,Special-exponent case k = 1 with m odd is impossible
254,diophantine_quadruple_extension_criterion,0.3061,0.3061,151,0.2550,Fujita-Miyazaki extension criterion (per-case thresholds)
255,diophantine_quintuple_abde_irregular,0.3061,0.3061,152,0.2550,"Irregularity of {a,b,d,e} in a quintuple"
256,diophantine_quintuple_b_gt_3a,0.3061,0.3061,153,0.2550,Quintuple gap b > 3a (Cipu-Filipin-Fujita)
257,HarmonicBuilding.frequencyLimitExistsAndAtLeastOne,0.2944,0.3679,265,0.1083,The frequency converges and its limit is at least one
258,HarmonicBuilding.nonconstantOnSmallCircles,0.2944,0.3679,266,0.1083,A nonconstant harmonic map is nonconstant on every small circle
259,RybinAI2026.P16.six_hadamards_five_by_five_constraints,0.2917,0.1667,199,0.1838,Six Hadamard matrices with five-by-five modulus constraints
260,DiazModulus.diaz_of_exp_not_real_irrational_angle,0.2825,0.3512,239,0.1419,Off both axes with irrational angle: the genuine residual
261,Leopoldt.defect_pos_of_defect_pos,0.2679,0.2679,244,0.1303,A positive Leopoldt defect is inherited by finite extensions
262,Leopoldt.leopoldt_totallyReal_galois,0.2679,0.2679,245,0.1303,Leopoldt's conjecture for totally real Galois fields
263,mme_dwz_fourth_value_surplus_witness,0.2576,0.0000,360,0.0286,DWZ fourth-power surplus certificate witness
264,Chou.fg_of_isFinitelyPresented_quotient_of_not_hasFreeSubsemigroupOfRankTwo,0.2500,0.2500,248,0.1250,Rosenblatt's Lemmas 4.8 and 4.9 with $A$ not necessarily abelian: a normal subgroup with finitely presented quotient is finitely generated when $B$ has no free subsemigroup
265,Chou.isVirtuallyNilpotent_of_extension_of_not_hasFreeSubsemigroupOfRankTwo,0.2500,0.2500,249,0.1250,Rosenblatt's form of Lemma 3.1 (external)
266,LeanEval.Geometry.SpaceGroupsProblem.space_groups_OP_classification,0.2500,0.2500,186,0.2000,A complete irredundant list of the $230$ space-group types
267,LeanEval.Geometry.SpaceGroupsProblem.space_groups_affine_classification,0.2500,0.2500,187,0.2000,A complete irredundant list of the $219$ affine classes of space groups
268,LeanEval.Geometry.SpaceGroupsProblem.space_groups_sohncke_classification,0.2500,0.2500,188,0.2000,A complete irredundant list of the $65$ Sohncke space-group types
269,flt_wiles,0.2500,0.2500,174,0.2124,
270,EulerMascheroni.Arithmetic.gompertz_transcendental,0.2497,0.1429,325,0.0494,Transcendence of the Gompertz constant
271,EulerMascheroni.Mixed.e_values_linear_independent,0.2497,0.1429,326,0.0494,"Classical algebraic linear independence of 1, e, and e Ein(1)"
272,EulerMascheroni.Mixed.local_intersection_algebraicity_conjecture,0.2497,0.1429,327,0.0494,Conjectural E/Y intersection algebraicity for the Gompertz value
273,HorizontalPadicL.eigenform_seededHorizontalPadicLConstruction_v2,0.2458,0.2458,331,0.0447,Construction of seeded horizontal p-adic L-functions
274,HorizontalPadicL.seededHorizontalPadicLConstruction_implies_corollary_5_17_v2,0.2458,0.2458,332,0.0447,Seeded horizontal measures imply Corollary 5.17
275,Hirsch.polynomial_target_face_access,0.2361,0.2361,334,0.0408,Polynomial access to a supporting face of the target vertex (conjectural)
276,WeakGoldbach.prime_in_window_4e18_add_two,0.2251,0.0000,198,0.1842,"Prime ladder step: a prime in $[n-4\cdot 10^{18}-2,\, n-4]$ for each odd $n \le 8.875\times 10^{30}$"
277,TaoFivePrimes.minor_arc_L2_corrected,0.2201,0.1111,253,0.1167,Proposition 8.4 with corrected constant: $L^2$ estimate off the strongly major arc ($7.4$)
278,mme_more_asymmetry_finite_regional_surplus_certificate,0.2159,0.0000,377,0.0123,Construct a finite regional CW certificate with strict More Asymmetry surplus
279,momentAngle_fourSphere_uniformTorsionBlocks,0.2111,0.2111,246,0.1292,"Arbitrary torsion in a moment-angle manifold over a simplicial $4$-sphere, for the uniform block group $\mathbb{Z}^k \oplus (\mathbb{Z}/n)^k$"
280,ErdosStraus242.hard_core_840,0.2000,0.2000,302,0.0667,The residual hard case at six squares mod 840 - genuinely open
281,Freiman.lower_interval,0.2000,0.2000,381,0.0050,The lower interval in the Lagrange spectrum
282,KServer.finite_horizon_uniform_bound,0.2000,0.2000,346,0.0333,"The k-server conjecture on finite request sets and horizons, with a uniform additive constant"
283,RybinAI2026.P01.matrix_integral_inequality_integer_gram_ratio_residual,0.2000,0.2000,273,0.1000,Remaining integer-Gram matrix inequality beyond uniform-ratio certificates
284,zeta_ne_zero_of_half_lt_re,0.2000,0.2000,296,0.0769,$\zeta$ has no zeros in the half-plane $\operatorname{Re} s>1/2$
285,syracuse_periodic_ge_seven_eq_one,0.1881,0.0000,314,0.0625,No nontrivial Syracuse periodic point of iterate period at least seven
286,HarmonicBuilding.orderExistsAndAtLeastOne,0.1833,0.2250,309,0.0648,The order of a nonconstant harmonic map into a Euclidean building is well defined and $\ge 1$
287,WeakGoldbach.three_odd_primes_ge_10pow27,0.1778,0.0000,219,0.1527,Ternary Goldbach with odd primes for $n \ge 10^{27}$
288,WeakGoldbach.verified_three_odd_primes_to_8875e30,0.1778,0.0000,220,0.1527,"Verified all-odd ternary Goldbach range $[9,\, 8.875\times 10^{30}]$"
289,DiazModulus.diaz_of_exp_not_real_off_axes,0.1714,0.2083,297,0.0705,"Non-real exponential, argument off both axes"
290,Chou.isVirtuallyNilpotent_or_hasExponentialGrowth_of_extension,0.1667,0.1667,276,0.0909,Lemma 3.1: extensions of almost nilpotent by almost nilpotent groups
291,CirclePackingConstants.c_n_eight,0.1667,0.1667,290,0.0769,Exact packing constant for n = 8
292,CirclePackingConstants.c_n_seven,0.1667,0.1667,291,0.0769,Exact packing constant for n = 7
293,CirclePackingConstants.c_n_six,0.1667,0.1667,292,0.0769,Exact packing constant for n = 6
294,CirclePackingConstants.c_n_sixteen,0.1667,0.1667,293,0.0769,Exact packing constant for n = 16
295,CirclePackingConstants.c_n_thirty_six,0.1667,0.1667,294,0.0769,Exact packing constant for n = 36
296,CirclePackingConstants.c_n_twenty_five,0.1667,0.1667,295,0.0769,Exact packing constant for n = 25
297,FiniteMagmaE677.fixer_exists,0.1667,0.1667,272,0.1000,Fixer existence: an equivalent form of the main target
298,EulerMascheroni.Mixed.value_relation_lifting_conjecture,0.1497,0.0000,354,0.0309,Conjectural arithmetic lifting for the explicit Euler–Gompertz mixed system
299,OddPerfectNumber.no_euler_equation_special_exponent_five,0.1497,0.1497,287,0.0823,Euler equation for an odd perfect number with special exponent $k = 5$ has no solution
300,OddPerfectNumber.no_euler_equation_special_exponent_ge_nine,0.1497,0.1497,288,0.0823,Euler equation for an odd perfect number with special exponent $k \\ge 9$ has no solution
301,HorizontalPadicL.friedberg_hoffstein_quadratic_twist_nonzero,0.1458,0.1458,358,0.0290,Friedberg–Hoffstein nonvanishing quadratic twist
302,HorizontalPadicL.quadratic_seed_implies_corollary_5_17,0.1458,0.1458,359,0.0290,Prime-by-prime horizontal propagation from a quadratic seed
303,BookSixth.crossing_lemma,0.1429,0.1429,350,0.0313,"Chapter 45, Theorem 4: crossing lemma (drawing form)"
304,BookSixth.high_girth_chromatic,0.1429,0.1429,351,0.0313,"Chapter 45, Theorem 3: high girth and chromatic number"
305,BookSixth.latin_asymptotic,0.1429,0.1429,352,0.0313,"Chapter 37, Corollary: Latin square asymptotic"
306,BookSixth.round_circle_unlink,0.1429,0.1429,353,0.0313,"Chapter 15, Theorem 1: pairwise unlinked round circles"
307,RybinAI2026.P01.matrix_integral_inequality_integer_gram,0.1429,0.1429,313,0.0625,Matrix integral inequality for integer Gram matrices with positive integer regularization
308,diophantine_degree_ge_two_case_five_quintuple,0.1394,0.1394,255,0.1121,"Exclusion of degree at least two — Theorem 9, case V"
309,diophantine_degree_ge_two_case_four_quintuple,0.1394,0.1394,256,0.1121,"Exclusion of degree at least two — Theorem 9, case IV"
310,diophantine_degree_ge_two_case_one_quintuple,0.1394,0.1394,257,0.1121,"Exclusion of degree at least two — Theorem 9, case I"
311,diophantine_degree_ge_two_case_three_quintuple,0.1394,0.1394,258,0.1121,"Exclusion of degree at least two — Theorem 9, case III"
312,diophantine_degree_ge_two_case_two_quintuple,0.1394,0.1394,259,0.1121,"Exclusion of degree at least two — Theorem 9, case II"
313,diophantine_quintuple_acb_upper_bound,0.1394,0.1394,260,0.1121,Quintuple range upper bound (ac < 180.45 b^3)
314,diophantine_quintuple_global_bound,0.1394,0.1394,261,0.1121,Global bounds for a quintuple (Proposition 5)
315,CollatzMission.bounded_orbit_of_avoids_one,0.1333,0.0833,323,0.0530,One-avoiding Collatz orbits are bounded
316,CollatzMission.syracuse_odd_conjecture,0.1333,0.0000,322,0.0542,Accelerated Collatz conjecture on positive odd integers
317,TaoFivePrimes.minor_arc_bound,0.1292,0.0000,301,0.0690,Minor arc bound (8.17) for the five-primes circle method
318,WeakGoldbach.verified_three_primes_to_8875e30,0.1251,0.0000,267,0.1072,Verified ternary Goldbach range through $8.875\times10^{30}$
319,strong_goldbach_conjecture,0.1251,0.0000,268,0.1072,
320,Leopoldt.leopoldt_totallyReal,0.1250,0.1250,317,0.0588,Leopoldt's conjecture for totally real fields
321,RybinAI2026.P16.projectiveToricMUBDesign36_exists,0.1250,0.0000,318,0.0588,Existence of a 36-point projective toric MUB design in dimension six
322,RybinAI2026.P16.six_mutually_unbiased_hadamards,0.1250,0.0000,319,0.0588,Six mutually unbiased complex Hadamard matrices of order six
323,WhitneyEmbedding.finite_immersion_and_proper_function_of_noncompact,0.1250,0.2000,303,0.0667,Finite-dimensional immersion and smooth exhaustion data for a noncompact manifold
324,WhitneyEmbedding.strong_embedding_from_closed_weak_embedding,0.1250,0.2000,304,0.0667,Strong Whitney step from a smooth closed embedding in dimension $2n+1$
325,CollatzMission.periodic_point_reaches_one,0.1167,1.0000,335,0.0403,Every positive periodic Collatz orbit visits 1
326,Hirsch.balanced_polynomial_bound,0.1111,0.1111,367,0.0200,Polynomial Hirsch bound for balanced H-polytopes
327,PoincareFormalization.ExtinctionEndgame.exists_width_controlled_surgery_topology,0.1111,0.0000,363,0.0213,Construct uniform width-controlled surgery topology
328,PoincareFormalization.ExtinctionEndgame.nonempty_homeomorph_sphere_of_standard_decomposition,0.1111,0.0000,364,0.0213,The simply connected endgame for a standard connected-sum decomposition
329,PoincareFormalization.exists_smooth_structure_three,0.1111,0.0000,365,0.0213,Moise's theorem: every topological $3$-manifold admits a smooth structure
330,PoincareFormalization.nonempty_sdiffeomorph_sphere_three,0.1111,0.0000,366,0.0213,Three-dimensional smooth Poincaré conjecture — Mathlib statement
331,BSD.analytic_continuation,0.1000,0.0000,283,0.0833,Analytic continuation of the elliptic-curve L-function
332,BSD.exists_isLFunction,0.1000,0.0000,284,0.0833,"Analytic continuation of the Hasse–Weil L-series to an entire function (Wiles, Taylor–Wiles, Breuil–Conrad–Diamond–Taylor)"
333,BSD.rank_order_equality,0.1000,0.0000,285,0.0833,Rank equals the analytic order of vanishing
334,MomentAngle_arbitraryTorsionNormalForm,0.1000,0.1000,312,0.0625,"Arbitrary torsion in a moment-angle manifold over a simplicial $4$-sphere, for a group in normal form"
335,SymplecticFreeModules.canonicalHamiltonianApplication,0.1000,0.1000,338,0.0357,Simple modules over the canonical Hamiltonian Lie algebra of Witt type
336,SymplecticFreeModules.exceptionalFiniteLength,0.1000,0.1000,339,0.0357,"At exceptional $c$, $\tau(c,\varphi)$ has finite length and Jordan--H\ddot{o}lder uniqueness"
337,SymplecticFreeModules.simplicityCriterion,0.1000,0.1000,340,0.0357,"$\tau(c,\varphi)$ is simple iff $c$ is not exceptional"
338,mme_dwz_fourth_fixed_tau_value_surplus,0.0909,0.0000,379,0.0059,DWZ fourth-power strict value surplus above 2401
339,mme_omega_lt_237134,0.0909,0.0000,380,0.0059,More Asymmetry bound: omega < 2.37134
340,HarmonicBuildingKL.orderDenominatorDividesWeylWD,0.0833,0.1000,356,0.0303,The order of a harmonic map into a building has denominator dividing the Weyl group
341,HarmonicBuildingKL.orderExistsAndAtLeastOneWD,0.0833,0.1000,357,0.0303,The order of a nonconstant harmonic map into a building exists and is at least one
342,goldbach_odd_variant,0.0817,1.0000,298,0.0702,
343,DiazModulus.diaz_of_exp_not_real,0.0714,0.0833,361,0.0250,Diaz's conjecture when the exponential is not real
344,DiazModulus.diaz_of_exp_real,0.0714,0.0833,362,0.0250,Diaz's conjecture when the exponential is real
345,HorizontalPadicL.corollary_5_17,0.0625,0.0625,371,0.0139,Corollary 5.17 for new eigenforms
346,HorizontalPadicL.ellipticCurve_eigenform_specialization,0.0625,0.0625,372,0.0139,Specialization from a modular elliptic curve to a new eigenform
347,TaoFivePrimes.representationCount_pos,0.0625,0.2500,347,0.0333,Positivity of Tao’s weighted representation count (K = 1000)
348,diophantine_quintuple_degree_ge_two,0.0625,0.0625,328,0.0455,Theorem 9 — exclusion of degree at least two
349,diophantine_quintuple_degree_one,0.0625,0.0625,329,0.0455,Theorem 8 — exclusion of degree one
350,diophantine_quintuple_degree_zero,0.0625,0.0625,330,0.0455,Theorem 7 — exclusion of the Euler case
351,EulerMascheroni.Sondow.fractional_lower_bound_conjecture,0.0588,0.0000,373,0.0133,Open Sondow fractional-part condition for Euler irrationality
352,EulerMascheroni.Sondow.scaled_integral_bounds,0.0588,0.0000,374,0.0133,Sondow scaled positive remainder bound
353,EulerMascheroni.gamma_transcendental,0.0588,0.0000,375,0.0133,Euler's constant is transcendental
354,OddPerfectNumber.no_odd_perfect_special_exponent_ge_five,0.0588,0.0588,348,0.0323,"Odd perfect number conjecture, special-exponent case $k \ge 5$"
355,OddPerfectNumber.no_odd_perfect_special_exponent_one,0.0588,0.0588,349,0.0323,"Odd perfect number conjecture, special-exponent case $k = 1$"
356,CollatzMission.no_divergent_counterexamples,0.0500,0.0000,368,0.0185,No one-avoiding non-cyclic orbits
357,CollatzMission.no_eventual_cycle_counterexamples,0.0500,0.0000,369,0.0185,No one-avoiding eventual cycles
358,CollatzMission.odd_inputs_conjecture,0.0500,0.0000,370,0.0185,Collatz conjecture for positive odd inputs
359,WeakGoldbach.three_primes,0.0400,0.0000,342,0.0345,Every Odd Number Greater Than 1 is the Sum of at Most 3 Primes
360,AaronsonAmbainis.aaronson_ambainis_conjecture,0.0000,0.0000,382,0.0000,Aaronson--Ambainis conjecture: bounded low-degree polynomials have an influential variable
361,AlmostComplexToComplex.every_closed_almost_complex_manifold_admits_complex_structure,0.0000,0.0000,383,0.0000,Almost-complex-to-complex conjecture for closed manifolds
362,BSD.birch_swinnerton_dyer,0.0000,0.0000,384,0.0000,"Birch and Swinnerton-Dyer conjecture: $\operatorname{ord}_{s=1} L(E,s) = \operatorname{rank} E(\mathbb{Q})$ for every elliptic curve $E/\mathbb{Q}$ (Clay Millennium Prize Problem)"
363,BanditAlgorithm.chernoff_stopping_time_sample_complexity,0.0000,0.0000,385,0.0000,$\\limsup_{\\delta\\to0}\\mathbb{E}[\\tau_\\delta]/\\log(1/\\delta)\\le c^*(\\nu)$ under optimal tracking
364,BanditAlgorithm.gaussian_ts_pull_count_rhs_bound,0.0000,0.0000,386,0.0000,Gaussian tail sums in the Thompson-sampling pull-count decomposition
365,BanditAlgorithm.linear_bandit_unit_ball_coordinate_flip_stopped_loss_lower_bound,0.0000,0.0000,387,0.0000,Coordinate-flip stopped-loss lower bound for unit-ball linear bandits
366,BanditAlgorithm.linear_bandit_unit_ball_stopped_loss_change_of_measure,0.0000,0.0000,163,0.2361,Stopped loss change of measure for the unit-ball linear bandit
367,Beal_Conjecture,0.0000,0.0000,388,0.0000,
368,BirkhoffGlobalSection.birkhoff_retrograde_global_section,0.0000,0.0000,389,0.0000,Birkhoff's retrograde rational global-section conjecture
369,BookSixth.sixthEditionExtension,0.0000,0.0000,390,0.0000,Sixth-edition extension: 21 precise formalization targets
370,BoydChua.solution,0.0000,0.0000,391,0.0000,Theorem 1: approximation by a bank of linear filters and a polynomial readout
371,BraidsLinksMCG.thm_1_8_artin_presentation,0.0000,0.0000,392,0.0000,"Theorem 1.8 (Artin, 1925): $B_n \cong \pi_1 B_{0,n}E^2$"
372,BurauFaithful.burau_faithful_four,0.0000,0.0000,393,0.0000,The Burau representation $\rho_4$ of $B_4$ is faithful
373,CannonFloydParry.exists_conj_supp_subset_Icc,0.0000,0.0000,230,0.1429,"$[F,F]$ conjugates each of its elements into a prescribed dyadic interval"
374,CannonFloydParry.exists_dyadic_interval_image_disjoint,0.0000,0.0000,231,0.1429,A nontrivial element of $F$ pushes a dyadic interval off itself
375,CannonFloydParry.mem_closure_commutator_supp_Icc,0.0000,0.0000,232,0.1429,Maps supported strictly inside a dyadic interval are products of commutators supported in it
376,CannonFloydParry.mem_closure_mapA_mapB_of_standardDyadicPartition,0.0000,0.0000,105,0.3611,A map given by a pair of standard dyadic partitions is a word in $A$ and $B$
377,Chens_Theorem,0.0000,0.0000,394,0.0000,
378,Chou.hasPackingProperty_freeGroup,0.0000,0.0000,395,0.0000,Free groups have property (P)
379,Chou.isVirtuallyNilpotent_or_hasExponentialGrowth_of_elementaryAmenable,0.0000,0.0000,396,0.0000,Theorem 3.2: finitely generated elementary amenable groups are almost nilpotent or of exponential growth
380,Chou.isVirtuallyNilpotent_or_hasFreeSubsemigroupOfRankTwo_of_elementaryAmenable,0.0000,0.0000,397,0.0000,Theorem 3.2′: finitely generated elementary amenable groups are almost nilpotent or contain a free subsemigroup on two generators
381,CirclePackingConstants.c_all,0.0000,0.0000,398,0.0000,All currently formalized exact circle-packing constants
382,CollapsibleCubics.cubic_collapsible,0.0000,0.0000,399,0.0000,Every cubic algebraic number is collapsible
383,CollatzMission.collatz_conjecture,0.0000,0.0000,400,0.0000,Collatz conjecture
384,Congruent_Number_Tunnell_Even_Converse,0.0000,0.0000,401,0.0000,
385,Congruent_Number_Tunnell_Odd_Converse,0.0000,0.0000,402,0.0000,
386,Conway99.conway_99,0.0000,0.0000,403,0.0000,"Conway's 99-graph problem: a strongly regular graph with parameters $(99,14,1,2)$"
387,CubicP3Partition.root_problem,0.0000,0.0000,404,0.0000,OPG-46613: $P_3$-partitions of cubic 3-connected graphs
388,DeBruijnNewman.debruijn_newman_constant_nonneg,0.0000,0.0000,405,0.0000,Theorem 1 - the de Bruijn-Newman constant satisfies $\Lambda \ge 0$
389,DiazModulus.diaz_modulus_conjecture,0.0000,0.0000,406,0.0000,Diaz's modulus conjecture
390,Erdos142.erdos_142_variants_lower,0.0000,0.0000,407,0.0000,Erdős #142 (`variants.lower`): $r_k(N) = o_k(N/\log N)$
391,Erdos287.max_gap_ge_three,0.0000,0.0000,408,0.0000,Erdős Problem 287: some gap between the denominators is at least three
392,Erdos390.eventual_central_tail_split,0.0000,0.0000,409,0.0000,Theorem 10.3 — Central anchor and tail quotient decomposition
393,Erdos390.eventual_guarded_central_residual_split,0.0000,0.0000,182,0.2013,Theorem 10.3 — Guarded central and residual split of complement product
394,Erdos390.eventual_guarded_fractional_bank_data_exists,0.0000,0.0000,101,0.3680,Eventual joint guarded fractional certificate and universal bank
395,Erdos390.eventual_residual_assembly_of_central_anchor,0.0000,0.0000,410,0.0000,Theorem 10.3 — Residual tail exactification given central anchor
396,Erdos81.root_problem,0.0000,0.0000,411,0.0000,Erdos Problem 81: n²/6 plus a linear remainder
397,Erdos9796Mission.minimal_counterexample_removable,0.0000,0.0000,355,0.0304,Descent: a minimal counterexample with more than nine vertices has a removable vertex
