dependent,dependency
MagicSquares.magic_three_normal_eight,MagicSquaresParam3
MagicSquares.magic_three_normal_eight,MagicSquares
MagicSquares.magic_three_normal_eight,MagicSquares.magic_three_normal_classify
Freiman_lowerSelection,Freiman_lowerInitial
Erdos287.no_large_prime,Erdos287.padic_multiplicity
Davenport.zeta_logDeriv_region_bound,Zeta23.RvM.norm_riemannZeta_sub_one_le
Davenport.zeta_logDeriv_region_bound,Zeta23.WeilEF.logDeriv_partial_fraction_disk
Davenport.zeta_logDeriv_region_bound,Zeta23.RvM.norm_riemannZeta_le_of_re_pos
Davenport.zeta_logDeriv_region_bound,Davenport_siegelWalfisz
LinearOptimization.integer_hull_is_polyhedron,LinearOptimization_LagrangeanDual
LinearOptimization.integer_hull_is_polyhedron,LinearOptimization.finitely_generated_is_polyhedron
LinearOptimization.integer_hull_is_polyhedron,LinearOptimization.integer_hull_is_finitely_generated
markov_entanglement_multi,markov_entanglement
asymptoticUcbPolicy,BanditPolicy
Erdos9796Mission.critical_cover_card_le_nine_of_tight_center,Erdos9796Mission
BanditAlgorithm.best_arm_identification_track_and_stop_optimality,BanditAlgorithm.best_arm_identification_sample_complexity_lower_bound
BanditAlgorithm.best_arm_identification_track_and_stop_optimality,BanditTrajectory
BanditAlgorithm.best_arm_identification_track_and_stop_optimality,BanditAlgorithm.best_arm_identification_track_and_stop_upper_bound
BanditAlgorithm.best_arm_identification_track_and_stop_optimality,GaussianBandit
ConvexOptimization.s_procedure,ConvexOptimization.single_constraint_quadratic_strong_duality
ConvexOptimization.s_procedure,ConvexOptimization_quadraticForms
Erdos180.encodeFiniteGraph_isBipartite,erdos180_core4
Kawahira.fixed_point_off_strip_repelling,Kawahira.nontrivial_zero_mem_strip
Kawahira.fixed_point_off_strip_repelling,Kawahira.norm_one_sub_inv
Kawahira.fixed_point_off_strip_repelling,riemannZeta_trivial_zero_order_one
Kawahira.fixed_point_off_strip_repelling,Kawahira.nu_at_zero_of_order
Kawahira.fixed_point_off_strip_repelling,Kawahira_zeta
QuantumParallelRepetition.Strategy.winProbability_le_one,quantum_parallel_repetition_game
QuantumParallelRepetition.Strategy.winProbability_le_one,QuantumParallelRepetition.Strategy.outcomeProbability_nonneg
QuantumParallelRepetition.Strategy.winProbability_le_one,QuantumParallelRepetition.Strategy.outcomeProbability_normalized
CircleMethod.divisor_bound,CircleMethod_genfun
Gilbreath.small_rows,gilbreath_triangle
spencer_discrepancy_sqrt_n_bound,DiscreteEntropy
spencer_discrepancy_sqrt_n_bound,shannonEntropy_pigeonhole
spencer_discrepancy_sqrt_n_bound,lemma8_partial_coloring_round
spencer_discrepancy_sqrt_n_bound,kleitman_diameter
spencer_discrepancy_sqrt_n_bound,RSign
spencer_discrepancy_sqrt_n_bound,shannonEntropy_pi_le
spencer_discrepancy_sqrt_n_bound,choose_sum_le_exp_mul_binEntropy
MarkovChainCLT.partialTraj_map_shift_succ,MarkovChainCLT.partialTraj_succ_self_apply_eq_map
MarkovChainCLT.partialTraj_map_shift_succ,MarkovChainPathMeasure
mme_CW_coupled_raw_cyclic_value_of_ratio,mme_CW_coupled_value
LinearOptimization.farkas_lemma,LinearOptimization.polyhedron_linear_image
LinearOptimization.farkas_lemma,LinearOptimization.separating_hyperplane_polyhedron
LinearOptimization.farkas_lemma,LinearOptimization.polyhedron_closed
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_Hypotheses
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_FromPNTPlus_Rectangle
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_FromPNTPlus_ZetaBounds
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_Statement
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23.RvM.norm_riemannZeta_sub_one_le
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_FromPNTPlus_Fourier
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23.WeilEF.logDeriv_partial_fraction_disk
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23.RvM.riemannZeta_linear_growth
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_FromPNTPlus_EulerMaclaurin
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_FromPNTPlus_StrongPNTPrefix
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_Defs
Zeta23.WeilEF.zeta_logDeriv_partial_fraction,Zeta23_FromPNTPlus_ResidueCalcOnRectangles
ExcursionCoupling.pairedRoutes_isMonotoneArchSet,ExcursionCoupling.Fsigma_cadlag
ExcursionCoupling.pairedRoutes_isMonotoneArchSet,ExcursionCoupling.generalized_intermediate_value_theorem
ExcursionCoupling.pairedRoutes_isMonotoneArchSet,excursion_coupling
MTT.Cohomology.manin_generation_span,MTT_Cohomology
bp_flt_for_p_ge_5,bp_FreyPackage
bp_flt_for_p_ge_5,bp_no_frey_package
bp_flt_for_p_ge_5,bp_frey_package_of_counterexample
OpenGA.eventually_width_slope_lt_of_comparison,OpenGA.integral_areaDensity_eq_energyDensity_iff
OpenGA.eventually_width_slope_lt_of_comparison,OpenGA_WidthComparisonData
OpenGA.eventually_width_slope_lt_of_comparison,OpenGA.integral_areaDensity_le_energyDensity
Freiman.finite_limsup_subsequence_comparison,Freiman_perronArithmetic
PrimalDualOnline_SkiRentalAlg,PrimalDualOnline_SkiRentalLP
ErdosStraus242.mordell_840,ErdosStraus242
ErdosStraus242.mordell_840,ErdosStraus242.elementary_mod24
Problem97.CGN.CGN6c_oneSidedDistanceInjective,Erdos9796Counting_CGN_CGN6
Problem97.CGN.CGN6c_oneSidedDistanceInjective,Erdos9796Counting_CGN_CGN
Problem97.CGN.CGN6c_oneSidedDistanceInjective,Problem97.CGN.CGN6b_nonacute_of_minorCapChainCoords
Problem97.CGN.CGN6c_oneSidedDistanceInjective,Erdos9796Counting_Adapter
Problem97.CGN.CGN6c_oneSidedDistanceInjective,Problem97.inner_chord_eq_dist_sq_diff
PachDeZeeuw.Algebraic.normalized_factor_irreducible,PdzPrelim
ExcursionCoupling.monotone_plan_is_unique_excursion_coupling,ExcursionCoupling.coupling_eq_of_concentrated_on_paired_routes
ExcursionCoupling.monotone_plan_is_unique_excursion_coupling,ExcursionCoupling.excursion_coupling_concentrated_on_paired_routes
ExcursionCoupling.monotone_plan_is_unique_excursion_coupling,ExcursionCoupling.monotone_plan_concentrated_on_paired_routes
ExcursionCoupling.monotone_plan_is_unique_excursion_coupling,JuilletExcursionCoupling
ExcursionCoupling.monotone_plan_is_unique_excursion_coupling,ExcursionCoupling.excursion_coupling_well_defined
Erdos180.symplecticQuadrangle_adjacent_to_line,erdos180_core4
RybinAI2026.P13.exponential_boundary_elementary_abel_solution,rybin2026_p13_exponential_boundary
MarkovMixing.adjacent_transpositions_lower,mm_spectral
MarkovMixing.adjacent_transpositions_lower,mm_shuffle
MarkovMixing.adjacent_transpositions_lower,MarkovMixing.relaxation_lower
MarkovMixing.adjacent_transpositions_lower,MarkovMixing.eigenvalue_basic
CannonFloydParry.F_ne_bot,CannonFloydParry
EulerMascheroni.Arithmetic.pade_positive_remainder_and_lower_bound,eulerMascheroni_padeTransform
ExcursionCoupling.exists_juilletPairingData,ExcursionCoupling.ae_level_regular
ExcursionCoupling.exists_juilletPairingData,JuilletExcursionCoupling
ExcursionCoupling.exists_juilletPairingData,ExcursionCoupling.crossing_count_measurable
ConvexOptimization.barrier_method_sqrt_m_complexity_sc,ConvexOptimization_logBarrier
ConvexOptimization.barrier_method_sqrt_m_complexity_sc,ConvexOptimization.sc_newton_decrement_contraction
ConvexOptimization.barrier_method_sqrt_m_complexity_sc,ConvexOptimization.sc_suboptimality_from_decrement
ConvexOptimization.barrier_method_sqrt_m_complexity_sc,ConvexOptimization.barrier_centering_potential_gap
ConvexOptimization.barrier_method_sqrt_m_complexity_sc,ConvexOptimization_IsDampedNewtonRunOn
ConvexOptimization.barrier_method_sqrt_m_complexity_sc,ConvexOptimization.two_phase_iteration_count_of_suboptimality
ConvexOptimization.barrier_method_sqrt_m_complexity_sc,ConvexOptimization_selfConcordance
strong_goldbach_conjecture,goldbach
flt_wiles_coprime_case,ribet_level_lowering
mm_cftp,mm_mixing
AlmostComplexToComplex.every_closed_almost_complex_manifold_admits_complex_structure,almostComplexToComplexStructure
GribovRegion.region_isBounded,gribov_region_model
MSKleene_RegSig,MSKleene_Term
Freiman.form_roots_reduction,Freiman.form_second_root_eventually_reduced
Freiman.form_roots_reduction,Freiman.form_root_convergent_data
Freiman.form_roots_reduction,Freiman_reducedForms
Freiman.form_roots_reduction,Freiman.form_root_coordinate_algebra
I2Bound,MediumPNT_defs
I2Bound,EulerMaclaurin_defs
I2Bound,MellinOfSmooth1b
I2Bound,mul_le_mul_triple
I2Bound,logt_gt_one
I2Bound,Fourier_defs
Erdos390.eventual_central_anchor_and_residual_exists,erdos390_problem
Erdos390.eventual_central_anchor_and_residual_exists,Erdos390.SourceJointConstruction.exists_common_depth
Erdos390.eventual_central_anchor_and_residual_exists,erdos390_source_bank_interface
Erdos390.eventual_central_anchor_and_residual_exists,Erdos390.eventual_guarded_fractional_bank_data_exists
Erdos390.eventual_central_anchor_and_residual_exists,erdos390_guarded_fractional_bank
Erdos390.eventual_central_anchor_and_residual_exists,Erdos390.column_sparse_floating_rounding
CircleMethod.norm_e_sub_one_le_two,CircleMethod_char
CircleMethod.norm_e_sub_one_le_two,CircleMethod.norm_e
bernoulli_exact_completion_from_injectivity_and_dual_certificate,matrix_completion_tangent
bernoulli_exact_completion_from_injectivity_and_dual_certificate,bernoulli_success_probability_mono
bernoulli_exact_completion_from_injectivity_and_dual_certificate,bernoulli_event_intersection_probability_from_lower_bounds
bernoulli_exact_completion_from_injectivity_and_dual_certificate,dual_certificate_with_restricted_sampling_implies_unique_completion
tangent_sampling_deviation_scale_from_general_sample_bound,matrix_completion_tangent
tangent_sampling_deviation_scale_from_general_sample_bound,neumann_remainder_tangent_scale_le_half_from_sample_bound
Monotonicity_Theorem.lemma_one,Monotonicity_Theorem_Framework2
Monotonicity_Theorem.lemma_one,Monotonicity_Theorem.infinite_definable_set_contains_interval2
GribovRegion.zero_mem_region,gribov_region_model
Erdos146.CompactnessConjecture.free_map_of_no_isolated,erdos146_core2
ConvexOptimization.lowner_john_unit_ball_kkt,ConvexOptimization_IsLownerJohn
ConvexOptimization.lowner_john_unit_ball_kkt,ConvexOptimization_ellipsoidBody
CannonFloydParry.exists_dyadic_interval_image_disjoint,CannonFloydParry
CannonFloydParry.closure_mapA_mapB_eq_F,CannonFloydParry.exists_standardDyadicPartition_of_isThompson
CannonFloydParry.closure_mapA_mapB_eq_F,CannonFloydParry.mem_F_iff_isThompson
CannonFloydParry.closure_mapA_mapB_eq_F,CannonFloydParry
CannonFloydParry.closure_mapA_mapB_eq_F,CannonFloydParry.mem_closure_mapA_mapB_of_standardDyadicPartition
BanditAlgorithm.bandit_divergence_one_step,BanditPolicy
Freiman.form_reduction_algebra,Freiman_reducedForms
syracuseStep_odd,syracuseStep
BrinSquier.slope_one_commutator,BrinSquier
BertsekasLCState,BertsekasSPGraph
collatz_descent_three_mod_sixteen,collatzStepMap
FreyPackage.of_counterexample,FLTPrelim_FreyPackage
MarkovMixing.harmonic_eq_const,mm_basic
Freiman.middle_interval_chain,Freiman_middleRoots
OPG37364.exists_high_girth_spectral_expander,OPG37364.exists_high_girth_adjacency_expander
OPG37364.exists_high_girth_spectral_expander,mm_spectral
OPG37364.exists_high_girth_spectral_expander,OPG37364.spectralGap_gt_one_seventh_of_adjacency_bound
OPG37364.exists_high_girth_spectral_expander,opg37364_matching_cuts
CircleMethod.nrm_pos_of_not_int,CircleMethod.nrm_eq_zero_iff
CircleMethod.nrm_pos_of_not_int,CircleMethod_char
CircleMethod.nrm_pos_of_not_int,CircleMethod.nrm_nonneg
Chou.isVirtuallyNilpotent_of_extension_of_not_hasFreeSubsemigroupOfRankTwo,Chou_Growth
HarmonicBuilding.constantDistanceCircleLength,frame_2026_harmonic_building_conical
LinearOptimization.ellipsoid_update_volume_lt,LinearOptimization.ellipsoid_update_matrix_posDef
LinearOptimization.ellipsoid_update_volume_lt,LinearOptimization_EllipsoidMethod
BFFPyramidal.multiplicity_bound,BFFPyramidal.muMeasure_divisorClosure_image_mul
BFFPyramidal.multiplicity_bound,BFFPyramidal.lemma_III
BFFPyramidal.multiplicity_bound,BFFPyramidal_cosetPartition
BFFPyramidal.multiplicity_bound,BFFPyramidal_pyramidal
BFFPyramidal.multiplicity_bound,BFFPyramidal.lemma_IV
BFFPyramidal.multiplicity_bound,BFFPyramidal_arithmetic
RybinAI2026.P01.crossIntegral_normalized_sum_le_one,rybin2026_p01_cross_integral
RybinAI2026.P01.crossIntegral_normalized_sum_le_one,rybin2026_p01_matrix_integral
RybinAI2026.P01.crossIntegral_normalized_sum_le_one,RybinAI2026.P01.crossIntegral_add_harmonic
RybinAI2026.P01.crossIntegral_normalized_sum_le_one,RybinAI2026.P01.crossIntegral_pos
RybinAI2026.P01.crossIntegral_normalized_sum_le_one,RybinAI2026.P01.crossIntegral_single_slot_normalized_sum_le_one
Kawahira.nontrivial_zero_mem_strip,riemannZeta_neg_odd_ne_zero
Kawahira.nontrivial_zero_mem_strip,Kawahira_zeta
momentAngle_fullSubcomplex_h1_homology,momentAngle_h1_selfComplex_topSummand
momentAngle_fullSubcomplex_h1_homology,momentAngle_fullSubcomplex_homology_retract
momentAngle_fullSubcomplex_h1_homology,frame_2026_moment_angle_interfaces
Erdos180.proposedFamily_isCyclic,erdos180_core4
Erdos180.proposedFamily_isCyclic,Erdos180.encodeFiniteGraph_not_acyclic
Erdos180.proposedFamily_isCyclic,Erdos180.proposedFamily_induction
Erdos180.proposedFamily_isCyclic,Erdos180.not_acyclic_of_eight_cycle_copy
mme_MMq_eq_zero_of_not_pos,mme_tensor_bridge
SymplecticFreeModules.canonicalShenLarssonActionExists,frame_2026_symplectic_free_modules_interfaces
mme_omega_le_of_subrank_capacity,mme_subrank_capacity
mme_omega_le_of_subrank_capacity,mme_omega_strassen
BanditAlgorithm.linear_bandit_unit_ball_hypercube_average_reward_upper_bound,BanditAlgorithm.gaussian_relative_entropy_formula
BanditAlgorithm.linear_bandit_unit_ball_hypercube_average_reward_upper_bound,LinearBanditProtocol
Chou.hasPackingProperty_of_extension,CannonFloydParry.not_elementaryAmenable_F
Chou.hasPackingProperty_of_extension,CannonFloydParry.no_free_subgroup_of_rank_two
Chou.hasPackingProperty_of_extension,Chou_ElementaryAmenable
Chou.hasPackingProperty_of_extension,Chou_Classes
collatz_descent_of_syracuse_descent,syracuseStep
collatz_descent_of_syracuse_descent,collatzStepMap
collatz_descent_of_syracuse_descent,collatz_reaches_syracuse_iterate
VectorSpaceOpt.generalized_kuhn_tucker,VectorSpaceOpt_cone_optimization
KN_SeededHorizontalPadicLFunctionV2,KN_HorizontalPadicLDensityExtension
mme_CW_auxiliary_inequality_2376_profile,mme_CW_q6_coupled_raw_cyclic_value_below
mme_CW_auxiliary_inequality_2376_profile,mme_tau_value_below_base_le_of_asymptoticRank_le
mme_CW_auxiliary_inequality_2376_profile,mme_CW_square_laser_value_below_2376_of_coupled_below
mme_CW_auxiliary_inequality_2376_profile,mme_CW_auxiliary_RHS
mme_CW_auxiliary_inequality_2376_profile,mme_CW_square_asymptoticRank_le
mme_CW_auxiliary_inequality_2376_profile,mme_omega_strassen
mme_six_symmetric_tau_value_to_direct_of_iso,mme_six_symmetrized_tau_value
mme_six_symmetric_tau_value_to_direct_of_iso,mme_HasTauValueAtLeast_kronPow_root
mme_six_symmetric_tau_value_to_direct_of_iso,mme_HasTauValueAtLeast_mono_restrict
LinearOptimization.convexHull_natGenerated_eq_finitelyGeneratedSet,LinearOptimization.finitely_generated_is_polyhedron
LinearOptimization.convexHull_natGenerated_eq_finitelyGeneratedSet,LinearOptimization_FinitelyGeneratedSet
BanditAlgorithm.mdp_ucrl2_optimistic_phase_run_on_good_event,FiniteMDPLearning
BanditAlgorithm.mdp_ucrl2_optimistic_phase_run_on_good_event,BanditAlgorithm.mdp_ucrl2_confidence_event_complement_prob_le
BanditAlgorithm.mdp_ucrl2_optimistic_phase_run_on_good_event,BanditAlgorithm.mdp_ucrl2_optimistic_phase_run_on_confidence_event
MarkovChainCLT.var_partialSum_div_tendsto_of_summable_cov,MixingCoefficients
MarkovEntanglement.separable_apply_local_reward,markov_entanglement_multi
MarkovMixing.graph_walk_reversible,mm_basic
BanditAlgorithm.gaussianBandit_isSubgaussian_one,GaussianBandit
Fejer.fejerKernel_nonneg,Fejer_fejerKernel
EulerMascheroni.Arithmetic.pade_normalized_form_integral,EulerMascheroni.Arithmetic.binomial_transform_integral
EulerMascheroni.Arithmetic.pade_normalized_form_integral,eulerMascheroni_padeTransform
EulerMascheroni.Arithmetic.pade_normalized_form_integral,EulerMascheroni.Arithmetic.pade_binomial_identity
littleLawProduct_nonneg,queueing_continuous_time
PachDeZeeuw.Algebraic.eval_eq_specialized_eval,PdzPrelim
AlmostLossless.card_collisionEvent_mul,AlmostLossless.card_codebooks
AlmostLossless.card_collisionEvent_mul,Geometry_AlmostLosslessCore
mme_permutation,mme_tensor_quotient
mme_permutation,mme_tensor
mme_permutation,mme_tensor_rank
sgl_lautemann_bridge,sgl_finite_override_delegate
sgl_lautemann_bridge,sipser_gacs_lautemann
sgl_lautemann_bridge,sgl_verifier_constructions
BanditAlgorithm.pmMinimaxRegret_le_policy_of_unit_losses,PartialMonitoringGame
Problem97.CGN.witnessedPairsAt_sum_le_square_div_four,Problem97.Dumitrescu.matching_count_sum_le_square_div_four
Problem97.CGN.witnessedPairsAt_sum_le_square_div_four,Problem97.CGN.card_witnessedPairsAt_le_right
Problem97.CGN.witnessedPairsAt_sum_le_square_div_four,Problem97.CGN.card_witnessedPairsAt_le_left
Problem97.CGN.witnessedPairsAt_sum_le_square_div_four,Erdos9796Counting_CGN_CGN
Problem97.CGN.witnessedPairsAt_sum_le_square_div_four,Erdos9796Counting_Adapter
mme_paired_Ctensor_certificate_to_six_symmetric_tau_value,mme_sixSymmetrization_isomorphic_cyclic_paired_swap
mme_paired_Ctensor_certificate_to_six_symmetric_tau_value,mme_six_symmetrized_tau_value
mme_paired_Ctensor_certificate_to_six_symmetric_tau_value,CTensorOneHOneFamilyCertificate
mme_paired_Ctensor_certificate_to_six_symmetric_tau_value,mme_HasTauValueAtLeast_mono_restrict
mme_paired_Ctensor_certificate_to_six_symmetric_tau_value,mme_Ctensor_one_H_one_outer_family_cyclic_value_below
matrix_completion_neumann,matrix_completion_tangent
Erdos180.kQuotient_mem_proposedFamily,erdos180_core4
Erdos180.kQuotient_mem_proposedFamily,Erdos180.proposedFamily_mem_iff
Erdos390.eventual_guarded_four_family_assembly,Erdos390.eventual_three_family_disjoint_residual_exists
Erdos390.eventual_guarded_four_family_assembly,erdos390_problem
Erdos390.eventual_guarded_four_family_assembly,Erdos390.eventual_central_anchor_certificate
FormalizedScopeReach.reach_variance_le_monteCarlo,FormalizedScopeReach_Trials
MSKleene.subst_comp,MSKleene_Subst
EulerMascheroni.gamma_transcendental,EulerMascheroni.Mixed.local_intersection_algebraicity_conjecture
EulerMascheroni.gamma_transcendental,EulerMascheroni.Mixed.e_values_linear_independent
EulerMascheroni.gamma_transcendental,eulerMascheroni_gompertz
EulerMascheroni.gamma_transcendental,EulerMascheroni.Mixed.hardy_identity
EulerMascheroni.gamma_transcendental,EulerMascheroni.Mixed.value_relation_lifting_conjecture
EulerMascheroni.gamma_transcendental,EulerMascheroni.Mixed.kernel_coefficient_vanishes
EulerMascheroni.Arithmetic.pade_decay_denominator_obstruction,EulerMascheroni.Arithmetic.pade_recurrence_bound
EulerMascheroni.Arithmetic.pade_decay_denominator_obstruction,EulerMascheroni.Arithmetic.real_affine_integral_eventually_zero
EulerMascheroni.Arithmetic.pade_decay_denominator_obstruction,EulerMascheroni.Arithmetic.pade_normalized_form_integral
EulerMascheroni.Arithmetic.pade_decay_denominator_obstruction,EulerMascheroni.Arithmetic.pade_determinant_and_nonvanishing
EulerMascheroni.Arithmetic.pade_decay_denominator_obstruction,eulerMascheroni_padeDecay
GameSetMatch.coeff_ineq,GameSetMatch.majorityAdv_ge_ratio
GameSetMatch.coeff_ineq,GameSetMatch.majorityAdv_le_mul
GameSetMatch.coeff_ineq,GameSetMatch.hypergeomWeight_mean
GameSetMatch.coeff_ineq,GameSetMatch.majorityAdv_nested_le
GameSetMatch.coeff_ineq,GameSetMatch.hypergeomWeight_odd_le
GameSetMatch.coeff_ineq,GameSetMatchInternal
GameSetMatch.coeff_ineq,GameSetMatch.majorityAdv_eq_centralBinom_sum
MarkovChainCLT.clt_of_var_limit_of_exp_alpha,MixingCoefficients
MarkovChainCLT.clt_of_var_limit_of_exp_alpha,MarkovChainCLT.clt_iff_uniformlyIntegrable_of_alpha_mixing
MarkovChainCLT.clt_of_var_limit_of_exp_alpha,MarkovChainCLT.uniformIntegrable_sq_partialSum_of_exp_alpha_of_log_moment
MarkovChainCLT.clt_of_var_limit_of_exp_alpha,MarkovChainCLT.summable_covariance_of_exp_alpha_of_log_moment
MarkovChainCLT.clt_of_var_limit_of_exp_alpha,MarkovChainCLT.tendstoInDistribution_inv_sqrt_of_normalized
MarkovChainCLT.clt_of_var_limit_of_exp_alpha,MarkovChainCLT.tendsto_inv_mul_integral_sq_partialSum
MarkovChainCLT.clt_of_var_limit_of_exp_alpha,MarkovChainCLT.memLp_two_and_logMoment_sub_const
ExcursionCoupling.coupling_eq_on_non_atom_pairs,excursion_coupling
MarkovChainCLT.integrable_of_geoDriftCondition,MarkovDriftMinorization
MarkovChainCLT.integrable_of_geoDriftCondition,MarkovErgodicity
Problem97.MEC.not_collinear_of_three_dist_eq,Erdos9796Counting_Foundation
Problem97.MEC.not_collinear_of_three_dist_eq,Erdos9796Counting_Adapter
diophantine_degree_ge_two_case_three_quintuple,diophantine_descent
diophantine_triple_finite_degree,diophantine_descent
diophantine_triple_finite_degree,diophantine_descent_step_exists
Erdos9796FiniteNine_N4dPackets,Erdos9796Counting_Dumitrescu_L6
Erdos9796FiniteNine_N4dPackets,Problem97.signedArea2_eq_zero_iff_collinear
Erdos9796FiniteNine_N4dPackets,Erdos9796Counting_CGN_CGN6
Erdos9796FiniteNine_N4dPackets,Problem97.MEC.not_collinear_of_three_dist_eq
Erdos9796FiniteNine_N4dPackets,Problem97.MEC.no_diameter_under_k4
Erdos9796FiniteNine_N4dPackets,Problem97.ConvexIndep.not_collinear_of_card_ge_three
Erdos9796FiniteNine_N4dPackets,Problem97.exists_cut_sorted_enumeration_of_convexIndep
Erdos9796FiniteNine_N4dPackets,Problem97.CGN.CGN6norm_minorCapChainModel_of_mecCapPacket
Erdos9796FiniteNine_N4dPackets,Problem97.collinear_of_signedArea2_eq_zero
Erdos9796FiniteNine_N4dPackets,Erdos9796Counting_MEC_ArcAngle
Erdos9796FiniteNine_N4dPackets,Problem97.Dumitrescu.three_cap_decomposition
Erdos9796FiniteNine_N4dPackets,Problem97.inner_chord_eq_two_mul_inner_midpoint
Erdos9796FiniteNine_N4dPackets,Erdos9796Counting_CGN_CGN4g
Erdos9796FiniteNine_N4dPackets,Problem97.signedArea2_sign_eq_oangle_sign
Erdos9796FiniteNine_N4dPackets,Problem97.center_same_side_as_apex_of_nonobtuse
Erdos9796FiniteNine_N4dPackets,Erdos9796Counting_CGN_CGN
Erdos9796FiniteNine_N4dPackets,Problem97.CGN.CGN4g_strictCapBlockData_of_supportCap_oriented
Erdos9796FiniteNine_N4dPackets,Problem97.CGN.CGN6b_nonacute_of_minorCapChainCoords
Erdos9796FiniteNine_N4dPackets,Erdos9796Counting_ConvexCyclicOrder_Construct
Erdos9796FiniteNine_N4dPackets,Erdos9796FiniteNine_N8Interface
Erdos9796FiniteNine_N4dPackets,Erdos9796Counting_IsoscelesCount
Erdos9796FiniteNine_N4dPackets,Problem97.signedArea_prod_eq_inner_mul_dist_sq
Erdos9796FiniteNine_N4dPackets,Problem97.affineSpan_eq_top_of_not_collinear
Erdos9796FiniteNine_N4dPackets,Problem97.ConvexIndep.not_wbtw
Erdos9796FiniteNine_N4dPackets,Problem97.isCcwConvexPolygon_of_cut_sorted_arcAngle
Erdos9796FiniteNine_N4dPackets,Problem97.three_le_card_of_convexIndep_noncoll
Erdos9796FiniteNine_N4dPackets,Problem97.card_ge_five_of_K4
Erdos9796FiniteNine_N4dPackets,Problem97.MEC.exists_nonobtuse_circumscribed_triple
Freiman.gap_centered_membership,Freiman_gapModel
mme_subrankCapacityPoly_witness,mme_subrank_capacity_poly
Problem97.MEC.no_diameter_under_k4,Erdos9796Counting_Foundation
Problem97.MEC.no_diameter_under_k4,Erdos9796Counting_Adapter
Problem97.MEC.no_diameter_under_k4,Erdos9796Counting_MEC_Basic
Problem97.MEC.no_diameter_under_k4,Problem97.MEC.sylvester_dichotomy
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MixingCoefficients
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MarkovChainCLT.var_partialSum_div_tendsto_of_summable_cov
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MarkovChainCLT.clt_of_var_limit_of_exp_alpha
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MarkovChainCLT.clt_iff_uniformlyIntegrable_of_alpha_mixing
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MarkovChainCLT.uniformIntegrable_sq_partialSum_of_exp_alpha_of_log_moment
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MarkovChainCLT.tendstoInDistribution_inv_sqrt_of_normalized
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MarkovChainCLT.tendsto_inv_mul_integral_sq_partialSum
MarkovChainCLT.tendstoInDistribution_of_exp_alpha_of_log_moment,MarkovChainCLT.memLp_two_and_logMoment_sub_const
SymplecticFreeModules.constantParameterLowestWeight,frame_2026_symplectic_free_modules_interfaces
mme_cyclicSymmetrization_kronPow_isomorphic,mme_permutation
mme_cyclicSymmetrization_kronPow_isomorphic,mme_CW_coupled_value
mme_cyclicSymmetrization_kronPow_isomorphic,mme_rank_bridge
KN_HorizontalPadicLFunction,KN_HorizontalPadicL
MarkovChainCLT.poissonEquation_ae_of_uniformlyErgodic,MarkovChainCLT.integral_sq_iterKernel_pow_le
MarkovChainCLT.poissonEquation_ae_of_uniformlyErgodic,MarkovChainCLT.exists_lag_tvDist_le_of_uniformlyErgodic
MarkovChainCLT.poissonEquation_ae_of_uniformlyErgodic,MarkovChainPathMeasure
MarkovChainCLT.poissonEquation_ae_of_uniformlyErgodic,MarkovErgodicity
MarkovChainCLT.poissonEquation_ae_of_uniformlyErgodic,MarkovIterKernel
MarkovMixing.resistance_triangle,MarkovMixing.commute_time_identity
MarkovMixing.resistance_triangle,MarkovMixing.exists_stationary_pos
MarkovMixing.resistance_triangle,MarkovMixing.summable_hitting_tails
MarkovMixing.resistance_triangle,MarkovMixing.harmonic_extension
MarkovMixing.resistance_triangle,mm_network
MarkovMixing.resistance_triangle,MarkovMixing.stationary_unique
MTT.Cohomology.evaluation_lattice,MTT_Cohomology
exists_tail_arrivedBy_scaled_subset_departedBy,queueing_continuous_time
exists_tail_arrivedBy_scaled_subset_departedBy,eventually_departure_le_scaled_arrival
exists_tail_arrivedBy_scaled_subset_departedBy,mem_departedBy
ZengPryadkoConjecture18Counterexample.refutation,ZengPryadkoConjecture18Counterexample.threeIdentityCertificate
ZengPryadkoConjecture18Counterexample.refutation,ZengPryadkoConjecture18Counterexample.strictGapDataExists
